timestamp,hour,requests_per_15min,total_tokens_15min,gpu_energy_j_per_15min,avg_gpu_power_w,server_room_power_kw
2024-01-01 00:00:00,0.0,82,11808,0.0,0.0,0.0
2024-01-01 00:15:00,0.25,52,7488,0.0,0.0,0.0
2024-01-01 00:30:00,0.5,39,5616,0.0,0.0,0.0
2024-01-01 00:45:00,0.75,11,1584,0.0,0.0,0.0
2024-01-01 01:00:00,1.0,71,10224,0.0,0.0,0.0
2024-01-01 01:15:00,1.25,42,6048,0.0,0.0,0.0
2024-01-01 01:30:00,1.5,100,14400,0.0,0.0,0.0
2024-01-01 01:45:00,1.75,54,7776,0.0,0.0,0.0
2024-01-01 02:00:00,2.0,66,9504,0.0,0.0,0.0
2024-01-01 02:15:00,2.25,94,13536,0.0,0.0,0.0
2024-01-01 02:30:00,2.5,82,11808,0.0,0.0,0.0
2024-01-01 02:45:00,2.75,104,14976,0.0,0.0,0.0
2024-01-01 03:00:00,3.0,106,15264,0.0,0.0,0.0
2024-01-01 03:15:00,3.25,63,9072,0.0,0.0,0.0
2024-01-01 03:30:00,3.5,28,4032,0.0,0.0,0.0
2024-01-01 03:45:00,3.75,10,1440,0.0,0.0,0.0
2024-01-01 04:00:00,4.0,63,9072,0.0,0.0,0.0
2024-01-01 04:15:00,4.25,15,2160,0.0,0.0,0.0
2024-01-01 04:30:00,4.5,74,10656,0.0,0.0,0.0
2024-01-01 04:45:00,4.75,112,16128,0.0,0.0,0.0
2024-01-01 05:00:00,5.0,24,3456,0.0,0.0,0.0
2024-01-01 05:15:00,5.25,46,6624,0.0,0.0,0.0
2024-01-01 05:30:00,5.5,60,8640,0.0,0.0,0.0
2024-01-01 05:45:00,5.75,94,13536,0.0,0.0,0.0
2024-01-01 06:00:00,6.0,79,11376,0.0,0.0,0.0
2024-01-01 06:15:00,6.25,97,13968,0.0,0.0,0.0
2024-01-01 06:30:00,6.5,107,15408,0.0,0.0,0.0
2024-01-01 06:45:00,6.75,105,15120,0.0,0.0,0.0
2024-01-01 07:00:00,7.0,26,3744,0.0,0.0,0.0
2024-01-01 07:15:00,7.25,109,15696,0.0,0.0,0.0
2024-01-01 07:30:00,7.5,53,7632,0.0,0.0,0.0
2024-01-01 07:45:00,7.75,14,2016,0.0,0.0,0.0
2024-01-01 08:00:00,8.0,71,10224,0.0,0.0,0.0
2024-01-01 08:15:00,8.25,133,19153,0.0,0.0,0.0
2024-01-01 08:30:00,8.5,113,16272,0.0,0.0,0.0
2024-01-01 08:45:00,8.75,78,11232,0.0,0.0,0.0
2024-01-01 09:00:00,9.0,95,13680,0.0,0.0,0.0
2024-01-01 09:15:00,9.25,119,17136,0.0,0.0,0.0
2024-01-01 09:30:00,9.5,121,17424,0.0,0.0,0.0
2024-01-01 09:45:00,9.75,167,24049,0.0,0.0,0.0
2024-01-01 10:00:00,10.0,128,18433,0.0,0.0,0.0
2024-01-01 10:15:00,10.25,167,24049,0.0,0.0,0.0
2024-01-01 10:30:00,10.5,106,15264,0.0,0.0,0.0
2024-01-01 10:45:00,10.75,158,22753,0.0,0.0,0.0
2024-01-01 11:00:00,11.0,167,24049,0.0,0.0,0.0
2024-01-01 11:15:00,11.25,144,20737,0.0,0.0,0.0
2024-01-01 11:30:00,11.5,161,23185,0.0,0.0,0.0
2024-01-01 11:45:00,11.75,131,18865,0.0,0.0,0.0
2024-01-01 12:00:00,12.0,205,29521,0.0,0.0,0.0
2024-01-01 12:15:00,12.25,177,25489,0.0,0.0,0.0
2024-01-01 12:30:00,12.5,168,24193,0.0,0.0,0.0
2024-01-01 12:45:00,12.75,245,35282,0.0,0.0,0.0
2024-01-01 13:00:00,13.0,208,29953,0.0,0.0,0.0
2024-01-01 13:15:00,13.25,241,34705,0.0,0.0,0.0
2024-01-01 13:30:00,13.5,158,22753,0.0,0.0,0.0
2024-01-01 13:45:00,13.75,175,25201,0.0,0.0,0.0
2024-01-01 14:00:00,14.0,229,32977,0.0,0.0,0.0
2024-01-01 14:15:00,14.25,149,21457,0.0,0.0,0.0
2024-01-01 14:30:00,14.5,246,35426,0.0,0.0,0.0
2024-01-01 14:45:00,14.75,251,36146,0.0,0.0,0.0
2024-01-01 15:00:00,15.0,226,32545,0.0,0.0,0.0
2024-01-01 15:15:00,15.25,176,25345,0.0,0.0,0.0
2024-01-01 15:30:00,15.5,223,32113,0.0,0.0,0.0
2024-01-01 15:45:00,15.75,177,25489,0.0,0.0,0.0
2024-01-01 16:00:00,16.0,154,22177,0.0,0.0,0.0
2024-01-01 16:15:00,16.25,175,25201,0.0,0.0,0.0
2024-01-01 16:30:00,16.5,213,30673,0.0,0.0,0.0
2024-01-01 16:45:00,16.75,139,20017,0.0,0.0,0.0
2024-01-01 17:00:00,17.0,158,22753,0.0,0.0,0.0
2024-01-01 17:15:00,17.25,83,11952,0.0,0.0,0.0
2024-01-01 17:30:00,17.5,126,18145,0.0,0.0,0.0
2024-01-01 17:45:00,17.75,127,18289,0.0,0.0,0.0
2024-01-01 18:00:00,18.0,159,22897,0.0,0.0,0.0
2024-01-01 18:15:00,18.25,149,21457,0.0,0.0,0.0
2024-01-01 18:30:00,18.5,158,22753,0.0,0.0,0.0
2024-01-01 18:45:00,18.75,151,21745,0.0,0.0,0.0
2024-01-01 19:00:00,19.0,155,22321,0.0,0.0,0.0
2024-01-01 19:15:00,19.25,119,17136,0.0,0.0,0.0
2024-01-01 19:30:00,19.5,99,14256,0.0,0.0,0.0
2024-01-01 19:45:00,19.75,101,14544,0.0,0.0,0.0
2024-01-01 20:00:00,20.0,99,14256,0.0,0.0,0.0
2024-01-01 20:15:00,20.25,41,5904,0.0,0.0,0.0
2024-01-01 20:30:00,20.5,132,19009,0.0,0.0,0.0
2024-01-01 20:45:00,20.75,53,7632,0.0,0.0,0.0
2024-01-01 21:00:00,21.0,67,9648,0.0,0.0,0.0
2024-01-01 21:15:00,21.25,59,8496,0.0,0.0,0.0
2024-01-01 21:30:00,21.5,62,8928,0.0,0.0,0.0
2024-01-01 21:45:00,21.75,48,6912,0.0,0.0,0.0
2024-01-01 22:00:00,22.0,46,6624,0.0,0.0,0.0
2024-01-01 22:15:00,22.25,115,16560,0.0,0.0,0.0
2024-01-01 22:30:00,22.5,53,7632,0.0,0.0,0.0
2024-01-01 22:45:00,22.75,106,15264,0.0,0.0,0.0
2024-01-01 23:00:00,23.0,58,8352,0.0,0.0,0.0
2024-01-01 23:15:00,23.25,86,12384,0.0,0.0,0.0
2024-01-01 23:30:00,23.5,14,2016,0.0,0.0,0.0
2024-01-01 23:45:00,23.75,113,16272,0.0,0.0,0.0
2024-01-02 00:00:00,0.0,55,7920,0.0,0.0,0.0
2024-01-02 00:15:00,0.25,55,7920,0.0,0.0,0.0
2024-01-02 00:30:00,0.5,102,14688,0.0,0.0,0.0
2024-01-02 00:45:00,0.75,35,5040,0.0,0.0,0.0
2024-01-02 01:00:00,1.0,84,12096,0.0,0.0,0.0
2024-01-02 01:15:00,1.25,55,7920,0.0,0.0,0.0
